Tasks,Resources,Total Time,Average Time,User Satisfaction
5,5,27,5.4,0.9219668445235722
5,6,27,5.4,0.7118805542385818
5,7,29,5.8,0.008687258764831896
5,8,36,7.2,0.6222168473645281
5,9,14,2.8,0.6962320749564272
5,10,19,3.8,0.47296815577798346
6,5,36,6.0,0.7103326208322058
6,6,27,4.5,0.11601579543000651
6,7,22,3.6666666666666665,0.8502431771422134
6,8,33,5.5,0.9405957145532601
6,9,30,5.0,0.731706436819546
6,10,45,7.5,0.1696234331252764
7,5,40,5.714285714285714,0.7968651396213119
7,6,62,8.857142857142858,0.4403239654125982
7,7,14,2.0,0.7696379683405131
7,8,41,5.857142857142857,0.20152396235838677
7,9,44,6.285714285714286,0.3216566995997192
7,10,27,3.857142857142857,0.8536649666185541
8,5,56,7.0,0.23324272339682262
8,6,44,5.5,0.5454955819841917
8,7,45,5.625,0.9775142409753779
8,8,49,6.125,0.41055338017904575
8,9,46,5.75,0.9902079682093528
8,10,45,5.625,0.5297059411511361
9,5,64,7.111111111111111,0.02922450983868541
9,6,63,7.0,0.6803762024153602
9,7,44,4.888888888888889,0.10332123719367625
9,8,45,5.0,0.26132532857949997
9,9,43,4.777777777777778,0.7281125864220257
9,10,42,4.666666666666667,0.5329605970479594
10,5,63,6.3,0.5418757621758499
10,6,51,5.1,0.8978350729007013
10,7,54,5.4,0.9611161289456065
10,8,74,7.4,0.551851187584766
10,9,47,4.7,0.5252091480970456
10,10,54,5.4,0.45420071608916823
